,Country,Human Development Index (HDI),Inequality-adjusted HDI (IHDI),Overall loss (%),Difference from HDI rank,Coefficient of human inequality nan,Inequality in life expectancy (%),Inequality-adjusted life expectancy index,Inequality in education (%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income shares held by (%) Poorest 40 percent,Richest 10 percent, Richest 1 percent,Gini coefficient,Level of human development,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank,kg meat/person,cal,has_uhc
179,Afghanistan,0.478,-99.9,-99.9,-99.9,-99.9,26.16536713,0.4768853986156136,45.36517,0.21013053353442374,-99.9,-99.9,-99.9,-99.9,15.25,-99.9,Low,61.9824,10.26384398,2.98506999,1824.190915,-2.0,177.0,-99.9,2040.0,0.0
80,Moldova,0.767,0.711,7.301173402868322,16.0,7.297466136333333,8.885082245,0.6847061786413776,2.570094084,0.7745382013793525,10.43722208,0.6767582724778284,24.1,22.0,9.81,26.0,High,68.8459,14.43299961,11.82159042,14875.33189,-1.0,81.0,38.12,2383.0,0.0
192,Monaco,-99.9,-99.9,-99.9,-99.9,-99.9,3.428432703,0.96571567297,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,n/a,85.9463,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,0.0
95,Mongolia,0.739,0.644,12.855209742895802,10.0,12.725367453333334,9.34619236,0.7109406316880085,11.88363,0.6434646503250198,16.94628,0.584923525406778,20.2,25.7,16.54,32.7,High,70.9754,14.98034954,9.423700333,10588.22532,9.0,90.0,88.38,2579.0,0.0
48,Montenegro,0.832,0.756,9.134615384615374,2.0,9.010792995666668,2.293318987,0.8469305300989315,7.81501,0.7603568903026322,16.92405,0.6700467837395281,16.8,26.0,9.69,36.8,Very high,76.3426,15.08160973,12.17648306,20838.80129,16.0,52.0,73.01,3500.0,0.0
184,Mozambique,0.446,0.3,32.735426008968616,0.0,32.40842271,28.29929733,0.4337859418902998,40.5314308,0.23219704055383128,28.39454,0.26860406907069595,11.8,45.5,31.11,54.0,Low,59.3247,10.2191516,3.197641838,1198.073924,2.0,184.0,9.39,2103.0,0.0
148,Myanmar,0.585,-99.9,-99.9,-99.9,-99.9,21.22284508,0.553519801329888,26.85272,0.37714123114593046,-99.9,-99.9,21.9,25.5,17.09,30.7,Medium,65.6716,10.90913752,6.37680006,3850.524234,5.0,145.0,58.25,2673.0,0.0
138,Namibia,0.615,0.402,34.63414634146341,-10.0,32.839454753333335,19.91711426,0.48381151386523996,25.01567,0.4281943266610841,53.58558,0.31257421608710867,8.6,47.3,21.57,59.1,Medium,59.269,11.92720692,7.192013277,8633.504452,-23.0,134.0,30.53,2469.0,0.0
193,Nauru,-99.9,-99.9,-99.9,-99.9,-99.9,13.45940208,0.580714039919483,-99.9,-99.9,-99.9,-99.9,19.4,27.3,-99.9,34.8,n/a,63.617,11.69042029,-99.9,17729.74084,-99.9,-99.9,-99.9,-99.9,0.0
142,Nepal,0.602,0.449,25.415282392026572,0.0,24.319128766666665,15.5418663,0.6295314382612538,41.0992,0.3114069070531179,16.31632,0.46236973405313253,20.4,26.4,13.89,32.8,Medium,68.4495,12.88694954,5.121792742,3877.315444,10.0,144.0,13.55,2769.0,0.0
125,Nicaragua,0.667,0.516,22.638680659670165,1.0,22.121228755333334,9.870848656,0.746502322319486,25.79903661,0.43725304124819775,30.693801,0.4218805253627342,14.3,37.2,20.75,46.2,Medium,73.8368,12.64135783,7.144,5624.793595,6.0,129.0,30.82,2582.0,0.0
188,Niger,0.4,0.292,27.000000000000014,2.0,26.710599860000002,28.73307037,0.45584849944242606,34.96483,0.17156951225208472,16.43389921,0.31779876550126823,19.0,31.1,11.6,37.3,Low,61.5763,6.957111988,2.116717299,1239.866936,-3.0,189.0,12.75,2601.0,0.0
163,Nigeria,0.535,0.341,36.26168224299066,-7.0,36.024417029999995,39.60649109,0.3036028149451015,40.41507,0.3102533159545849,28.05169,0.4205098420191029,18.7,26.7,11.59,35.1,Low,52.676,10.12758388,7.181074153,4790.284425,-22.0,163.0,7.15,2572.0,0.0
53,Oman,0.816,0.708,13.235294117647056,-7.0,13.048904525333334,7.109055996,0.7508532203902403,11.94880067,0.6984988777843252,20.08885691,0.6760301692650152,-99.9,-99.9,19.57,-99.9,Very high,72.5406,14.57349014,11.65404034,27054.32505,-2.0,51.0,43.34,2940.0,0.0
81,Palau,0.767,-99.9,-99.9,-99.9,-99.9,12.47459698,0.6196852395602473,2.180765728,0.8361923991608227,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,High,66.0204,15.78432,12.49143,13818.67869,5.0,80.0,-99.9,-99.9,0.0
105,"Palestine, State of",0.715,0.584,18.321678321678327,-4.0,17.621487113333334,10.249897,0.7383354357981693,10.97456434,0.6252599277919322,31.64,0.4323629645540165,19.2,25.2,17.93,33.7,High,73.4727,13.35801029,9.938480377,6582.899416,21.0,109.0,-99.9,-99.9,0.0
133,Micronesia (Federated States of),0.628,-99.9,-99.9,-99.9,-99.9,13.9006424,0.6717074498301538,-99.9,-99.9,26.38098943,0.40143972607134604,16.2,29.7,-99.9,40.1,Medium,70.71,11.54947988,7.804956,3696.173945,22.0,136.0,-99.9,-99.9,0.0
157,Mauritania,0.556,0.389,30.035971223021583,-2.0,29.02167278666667,25.73825836,0.5068489540646622,43.98689,0.23772470393749795,17.33987,0.4903329523576545,19.9,24.9,10.75,32.6,Medium,64.3636,9.376159668,4.918804891,5075.305711,-20.0,158.0,31.06,2877.0,0.0
130,Marshall Islands,0.639,-99.9,-99.9,-99.9,-99.9,17.46094704,0.574837520097792,4.779338113,0.6162651436433492,-99.9,-99.9,18.9,27.5,-99.9,35.5,Medium,65.2688,10.2393198,10.88313961,4619.535393,12.0,131.0,-99.9,-99.9,0.0
22,Malta,0.918,0.849,7.516339869281053,2.0,7.425981436,3.227544308,0.949514958372787,5.19238,0.8293265512111286,13.85802,0.775943239282194,21.2,24.8,9.14,31.0,Very high,83.7769,16.83856964,12.21026039,38884.45623,12.0,26.0,82.06,3420.0,0.0
102,Jordan,0.72,0.617,14.30555555555555,7.0,14.205103180333333,9.261599541,0.7574045964344064,15.44186,0.5445209695542346,17.91185,0.5700862797510221,20.3,27.5,17.51,33.7,High,74.2563,10.64655972,10.44668007,9923.714974,8.0,104.0,37.91,2732.0,0.0
55,Kazakhstan,0.811,0.755,6.9050554870530245,5.0,6.925083065333333,7.268719196,0.7042184660466475,3.16666,0.8226012301171752,10.33987,0.7419569342943365,23.3,23.4,15.4,27.8,Very high,69.3622,15.76500034,12.34756189,23942.81837,1.0,59.0,64.89,3067.0,0.0
151,Kenya,0.575,0.426,25.913043478260867,3.0,25.685084096666667,21.01152229,0.5034239486295646,22.89552,0.40010710541066885,33.14821,0.3838151001327018,16.5,31.6,15.19,40.8,Medium,61.427,10.69855835,6.652,4473.570344,-6.0,150.0,15.94,2197.0,0.0
135,Kiribati,0.624,0.516,17.307692307692303,8.0,17.154097046666667,22.46889114,0.5655858607748294,9.63653,0.5367426255494003,19.35687,0.45125603598761316,23.0,22.9,-99.9,27.8,Medium,67.4172,11.801993,7.984461822,4062.586034,14.0,137.0,29.96,3078.0,0.0
118,Kyrgyzstan,0.692,0.627,9.393063583815021,23.0,9.226713036666666,10.48529911,0.688263386501521,3.36425,0.720586663133972,13.83059,0.49739364488594195,22.5,24.0,18.43,29.0,Medium,69.9774,13.1953001,11.37410556,4566.303831,26.0,121.0,30.46,2729.0,0.0
139,Laos,0.607,0.459,24.382207578253702,1.0,24.176819976666668,20.62915993,0.5868655492978856,31.31796,0.31641263147439785,20.58334,0.5210911898479245,17.8,31.2,20.14,38.8,Medium,68.0608,10.13611031,5.374,7699.579617,-18.0,142.0,30.41,2758.0,0.0
38,Latvia,0.863,0.792,8.227114716106598,2.0,7.961744167333333,4.207252502,0.7896063540148219,2.22774,0.8719600043321475,17.45024,0.722378752488224,19.3,26.6,9.13,34.5,Very high,73.5786,16.20252991,13.25271988,32803.23423,4.0,37.0,68.73,3229.0,0.0
60,Panama,0.805,0.64,20.496894409937894,-19.0,19.603252106666666,10.8678236,0.7709700143677107,11.37222672,0.6328659908111592,36.569706,0.5362600339890345,11.7,38.0,20.75,49.8,Very high,76.2233,13.05787868,10.54059029,26956.83707,-8.0,67.0,65.02,2851.0,0.0
112,Lebanon,0.706,-99.9,-99.9,-99.9,-99.9,5.557227612,0.7998169507994944,6.177,0.5668012454232222,-99.9,-99.9,20.6,24.8,21.04,31.8,High,75.0472,11.28587,8.718636,9525.831467,-1.0,103.0,23.97,2857.0,0.0
177,Liberia,0.481,0.33,31.392931392931388,2.0,30.66384255,30.12607765,0.43802564442768005,42.11968,0.26559332975953065,19.74577,0.3098908767184587,18.8,27.1,12.2,35.3,Low,60.7472,10.42078972,5.082,1288.74235,7.0,179.0,18.27,2168.0,0.0
103,Libya,0.718,-99.9,-99.9,-99.9,-99.9,7.824037075,0.7361484379372707,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,13.56,-99.9,High,71.9112,12.85428,7.599985,15335.712,-27.0,117.0,33.5,-99.9,0.0
15,Liechtenstein,0.935,-99.9,-99.9,-99.9,-99.9,4.739531994,0.9270675469060837,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,Very high,83.2575,15.18157005,12.53854,146829.7006,-15.0,14.0,-99.9,-99.9,0.0
153,Zambia,0.565,0.39,30.973451327433622,-4.0,30.109644590000002,25.05299377,0.47531852563412036,20.43572,0.43215051372732777,44.84022,0.289233437466161,8.9,44.4,23.17,57.1,Medium,61.2234,10.92876021,7.187091494,3217.767739,7.0,154.0,13.12,2002.0,0.0
172,Madagascar,0.501,0.367,26.74650698602794,7.0,26.852639319999998,23.65509796,0.5224962878030788,29.34582,0.3195051429638395,27.557,0.2951312033242532,15.7,33.5,15.17,42.6,Low,64.4853,10.13499142,5.120468534,1483.520983,8.0,173.0,12.34,1938.0,0.0
168,Malawi,0.512,0.377,26.3671875,7.0,26.320420650000003,19.67700195,0.5301861596209878,28.00731,0.36129570856501425,31.27695,0.2787170262222621,17.9,31.0,28.04,38.5,Low,62.9044,12.67898523,4.489695385,1465.635064,13.0,169.0,20.34,2392.0,0.0
185,Mali,0.428,0.291,32.00934579439253,-2.0,31.077906170000002,32.81034851,0.40253216838964406,43.85965,0.15898693891154053,16.56372,0.3856605036088037,18.7,28.2,9.69,36.1,Low,58.9414,7.423037617,2.31,2132.629443,-11.0,186.0,23.68,2873.0,0.0
167,Lesotho,0.514,0.372,27.626459143968873,5.0,27.394297766666668,33.0491333,0.3405430084362154,19.55712,0.4302152181801978,29.57664,0.35062341979172124,13.5,32.9,14.46,44.9,Low,53.062,12.04087801,6.010184707,2700.435748,-2.0,168.0,19.89,2323.0,0.0
109,Jamaica,0.709,0.591,16.643159379407614,5.0,15.735666021666665,8.725048065,0.7091403777235508,6.51579,0.633367852621361,31.96616,0.46053332295284843,-99.9,-99.9,20.75,-99.9,High,70.5003,13.40492042,9.154628661,8834.47567,4.0,110.0,58.97,2792.0,0.0
156,Papua New Guinea,0.558,0.397,28.85304659498208,0.0,28.476125356666667,20.87701607,0.5520422761562859,35.65204,0.28686268267408066,28.89932,0.39642304536190437,15.1,31.0,16.66,41.9,Medium,65.3506,10.36077074,4.74,4008.623573,-4.0,157.0,73.0,-99.9,0.0
33,Poland,0.876,0.816,6.849315068493156,4.0,6.831017672666666,3.926383018,0.8344688321040261,4.45925,0.8446027701860527,12.10742,0.7700634181181775,21.5,24.0,14.87,30.2,Very high,76.4572,16.0271492,13.1647501,33033.96081,8.0,36.0,88.71,3537.0,0.0
173,The Gambia,0.5,0.348,30.400000000000006,4.0,29.271516816666665,23.34724045,0.4962735507911769,47.00005,0.22059184555723346,17.46726,0.38377662500777904,19.0,28.7,13.61,35.9,Low,62.083,9.418626299,4.637487411,2172.207664,-1.0,173.0,7.82,2533.0,0.0
140,Timor-Leste,0.607,0.44,27.51235584843492,-3.0,26.242573763333336,20.22848129,0.585853078693446,44.91179,0.29288941419435,13.58745,0.4957478571795936,22.8,24.0,15.66,28.7,Medium,67.7369,12.616098,5.43679,4460.869435,7.0,140.0,31.51,2287.0,0.0
161,Togo,0.539,0.372,30.983302411873847,-1.0,30.773721303333332,27.74024391,0.4626781065557147,37.72766,0.3281520979785666,26.85326,0.3398471567891558,15.7,32.9,13.85,42.4,Low,61.6194,12.95049378,5.016807367,2166.619062,12.0,163.0,12.58,2443.0,0.0
92,Tonga,0.745,0.666,10.604026845637582,11.0,10.432029661,8.745738983,0.715794211682224,4.30943,0.7899704021211821,18.24092,0.5215161818844355,18.2,29.7,-99.9,37.6,High,70.9857,16.04857063,11.392594,6822.03125,34.0,90.0,-99.9,-99.9,0.0
93,Turkmenistan,0.745,0.619,16.912751677852345,0.0,16.372041066666668,19.9665432,0.6065846506427569,2.94467,0.7204758896588799,26.20491,0.5427698916962808,-99.9,-99.9,19.87,-99.9,High,69.2644,13.21039963,11.26139,13020.7155,-1.0,93.0,60.22,2830.0,0.0
129,Tuvalu,0.641,0.541,15.600624024960997,8.0,15.498798143333332,14.37229443,0.5868343306068557,9.17696,0.5573547401446229,22.94714,0.4831773130244109,17.4,30.8,-99.9,39.1,Medium,64.5466,9.40443,10.57310772,6351.435899,-2.0,131.0,-99.9,-99.9,0.0
166,Uganda,0.525,0.396,24.571428571428566,9.0,24.419621520000003,20.4040966,0.52294263623328,27.91438,0.3409449551963667,24.94038796,0.3495073296997312,16.1,34.5,17.05,42.7,Low,62.7048,10.14986994,5.730941566,2181.43651,6.0,166.0,9.69,1981.0,0.0
76,Ukraine,0.773,0.726,6.080206985769731,18.0,5.9670983269999995,5.777312279,0.7483310816782929,3.59926,0.7581991319890171,8.524722702,0.6752788360441366,24.3,21.8,9.48,25.6,High,71.624,14.95656854,11.13142043,13255.50977,11.0,78.0,46.92,3102.0,0.0
20,United States of America,0.921,0.819,11.07491856677525,-5.0,10.638091575333334,5.946424961,0.8276454147378046,2.745849765,0.8834214413506325,23.222,0.7507638338166196,15.3,30.8,19.06,41.5,Very high,77.1982,16.28097916,13.68342972,64765.21509,-14.0,21.0,124.11,3782.0,0.0
58,Uruguay,0.809,0.71,12.237330037082828,-3.0,11.836419132333333,5.416339397,0.8066618424190256,6.54951,0.7167564127023356,23.543408,0.6190178447149206,16.0,29.9,14.66,40.2,Very high,75.4356,16.83259964,8.982549667,21268.88122,5.0,55.0,57.7,3202.0,0.0
100,Uzbekistan,0.727,-99.9,-99.9,-99.9,-99.9,8.517651558,0.7158367097719427,0.550110115,0.7390189889710924,-99.9,-99.9,-99.9,-99.9,16.92,-99.9,High,70.8616,12.47714043,11.89558983,7916.785725,18.0,107.0,34.41,3011.0,0.0
141,Vanuatu,0.607,-99.9,-99.9,-99.9,-99.9,14.0302496,0.6672442981430154,-99.9,-99.9,19.68256999,0.41605305323043357,19.9,24.7,-99.9,32.3,Medium,70.449,11.53531503,7.064846,3085.411633,23.0,142.0,36.03,2607.0,0.0
119,Venezuela,0.691,0.592,14.32706222865412,14.0,14.161839976666668,12.81492996,0.6780798702729453,8.67058997,0.6632750920253704,21.0,0.4622362583999556,-99.9,-99.9,20.75,-99.9,Medium,70.5536,12.81608,11.10727736,4810.882621,20.0,118.0,40.94,2120.0,0.0
114,Vietnam,0.703,0.602,14.366998577524893,14.0,14.328679066666666,13.1303072,0.7165827500799506,15.25479,0.5413398973054323,14.60094,0.5631256351308092,18.6,27.5,16.16,35.7,High,73.6181,12.9519325,8.370280266,7867.371345,6.0,113.0,63.34,3025.0,0.0
182,Yemen,0.455,0.307,32.52747252747253,1.0,31.543484429999996,26.68957329,0.4934739113866637,46.13765,0.19358592494451138,21.80323,0.3042631750073271,18.8,29.4,24.71,36.7,Low,63.7534,9.09871006,3.2,1314.270189,1.0,183.0,16.86,2154.0,0.0
159,Tanzania,0.549,0.418,23.861566484517315,8.0,23.69202603333333,21.7159481,0.5564273840948201,26.96013,0.3422520155284538,22.4,0.38477656087050416,17.4,33.1,18.15,40.5,Low,66.2007,9.221489906,6.37289871,2664.329096,7.0,160.0,9.6,2373.0,0.0
121,Tajikistan,0.685,0.599,12.554744525547456,19.0,12.34022282,16.51501846,0.6626678207032413,6.03825,0.6591184139307485,14.4674,0.4931915431636622,19.4,26.4,14.9,34.0,Medium,71.5942,11.65303618,11.3333938,4547.742427,23.0,126.0,16.47,2109.0,0.0
149,Syria,0.577,-99.9,-99.9,-99.9,-99.9,12.98532009,0.6969567962692859,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,21.24,-99.9,Medium,72.0627,9.164219856,5.1,4191.933893,-2.0,152.0,22.8,-99.9,0.0
171,Sudan,0.508,0.336,33.85826771653543,-1.0,33.47931715666667,24.98774147,0.5223934466461463,42.45021,0.20029225836068051,33.0,0.3619785416909823,19.9,27.8,15.36,34.2,Low,65.2667,7.945187858,3.82,3575.19084,-14.0,171.0,21.39,2578.0,0.0
42,Qatar,0.855,-99.9,-99.9,-99.9,-99.9,3.872181892,0.8765614744261744,11.22725944,0.6074135231933477,-99.9,-99.9,-99.9,-99.9,23.61,-99.9,Very high,79.2716,12.63722038,9.99601145,87134.13469,-39.0,42.0,90.5,-99.9,0.0
152,Republic of the Congo,0.571,0.432,24.34325744308231,5.0,24.30610437,20.98684311,0.529007672422899,20.93222,0.43333569632361124,30.99925,0.35058597866051805,12.4,37.9,20.52,48.9,Medium,63.5187,12.33081527,6.166,2889.283521,11.0,153.0,40.11,2285.0,0.0
74,Saint Kitts and Nevis,0.777,-99.9,-99.9,-99.9,-99.9,7.958518505,0.7318317315262906,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,High,71.6822,15.42769157,8.662745,23358.33212,-16.0,76.0,82.51,2582.0,0.0
106,Saint Lucia,0.715,0.559,21.818181818181802,-8.0,21.323412147333332,9.268698692,0.7134467436421095,27.30567775,0.4668622824017541,27.39586,0.5254977973335136,11.0,38.6,-99.9,51.2,High,71.1114,12.86610985,8.545040131,12048.30381,-7.0,104.0,90.9,2618.0,0.0
88,Saint Vincent and the Grenadines,0.751,-99.9,-99.9,-99.9,-99.9,9.120908737,0.6938842320308543,9.166052393,0.6982184023186234,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,High,69.6291,14.67220567,10.83343029,11961.08792,11.0,82.0,91.05,2968.0,0.0
